state_code,age,Marriage_Status,Education_level,Primary_Occupation,total_members,SmartPhone,HaveBankACC,HUF,RationCard,GaribKalayanYojna,Annual_Routine_Expenditure,Amount_Invested,Yojana,total_income,finanicial_Status,financial_vulnerability
10,54,Married,Middle,Self-employed – Agriculture,5,Feature phone/Basic phone,Yes,No,No card,No,26000.0,2500.0,0,64000.0,38000.0,40500.0
10,46,Married,Higher secondary,Self-employed – Agriculture,2,Smart phone (With data or phone that can do WhatsApp),Yes,No,No card,No,244000.0,0.0,0,506000.0,262000.0,262000.0
10,32,Married,Matric,Self-employed – Agriculture,9,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,119000.0,5000.0,0,238000.0,119000.0,124000.0
10,30,Married,Up To Primary,Self-employed – Agriculture,3,,Yes,No,No card,No,89000.0,0.0,0,268000.0,179000.0,179000.0
10,33,Unmarried,Up To Primary,Self-employed – Agriculture,4,,Yes,No,BPL,Yes,37000.0,31000.0,0,90000.0,53000.0,84000.0
10,35,Married,Up To Primary,Self-employed – Agriculture,9,Feature phone/Basic phone,Yes,No,BPL,Yes,10000.0,4500.0,0,30000.0,20000.0,24500.0
10,60,Widowed,Middle,Self-employed – Agriculture,10,,Yes,No,BPL,Yes,80000.0,8500.0,6000,212000.0,126000.0,134500.0
10,33,Married,Up To Primary,Others,9,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,29000.0,1000.0,2000,74000.0,43000.0,44000.0
10,34,Married,Matric,Self-employed – Agriculture,9,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,22000.0,6000.0,0,64000.0,42000.0,48000.0
10,54,Married,Matric,Self-employed – Agriculture,3,Feature phone/Basic phone,Yes,No,BPL,No,107000.0,0.0,0,214000.0,107000.0,107000.0
10,40,Married,Middle,Self-employed – Agriculture,6,Feature phone/Basic phone,Yes,No,BPL,Yes,30000.0,300.0,6000,90000.0,54000.0,54300.0
10,28,Unmarried,Up To Primary,Self-employed – Non-agriculture,6,,Yes,No,APL,No,216000.0,80000.0,0,460000.0,244000.0,324000.0
10,35,Unmarried,Matric,Agriculture labour,5,,Yes,No,No card,No,71000.0,4500.0,6000,148000.0,71000.0,75500.0
10,20,Married,Matric,Self-employed – Agriculture,2,Feature phone/Basic phone,Yes,No,No card,No,102000.0,0.0,0,238000.0,136000.0,136000.0
10,30,Married,Illiterate,Self-employed – Agriculture,2,,Yes,No,No card,No,32000.0,5000.0,6000,94000.0,56000.0,61000.0
10,50,Married,Illiterate,Regular salaried/wage employee,5,,Yes,No,BPL,No,199000.0,55000.0,0,302000.0,103000.0,158000.0
10,21,Unmarried,Others,Regular salaried/wage employee,3,,No,No,BPL,No,139000.0,56000.0,0,272000.0,133000.0,189000.0
10,20,Unmarried,Graduate,Agriculture labour,5,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,22000.0,5000.0,0,44000.0,22000.0,27000.0
10,55,Widowed,Graduate,Self-employed – Agriculture,4,Feature phone/Basic phone,Yes,No,BPL,Yes,59000.0,0.0,0,148000.0,89000.0,89000.0
10,60,Married,Illiterate,Self-employed – Agriculture,2,,Yes,No,No card,No,81000.0,0.0,0,214000.0,133000.0,133000.0
10,60,Married,Middle,Self-employed – Agriculture,12,,Yes,No,APL,Yes,69000.0,5700.0,6000,184000.0,109000.0,114700.0
10,45,Married,Illiterate,Self-employed – Agriculture,9,,Yes,No,BPL,Yes,21000.0,6450.0,6000,64000.0,37000.0,43450.0
10,28,Married,Up To Primary,Regular salaried/wage employee,6,Feature phone/Basic phone,Yes,No,BPL,Yes,147000.0,8000.0,0,184000.0,37000.0,45000.0
10,41,Married,Matric,Self-employed – Agriculture,5,Feature phone/Basic phone,Yes,No,BPL,Yes,30000.0,5000.0,0,64000.0,34000.0,39000.0
10,32,Married,Up To Primary,Non-agriculture labour,5,Feature phone/Basic phone,No,No,No card,No,66000.0,2100.0,0,148000.0,82000.0,84100.0
10,29,Unmarried,Higher secondary,Self-employed – Agriculture,6,,Yes,No,BPL,No,34000.0,5000.0,0,104000.0,70000.0,75000.0
10,22,Married,Higher secondary,Self-employed – Agriculture,5,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,15000.0,6000.0,0,50000.0,35000.0,41000.0
10,18,Married,Middle,Agriculture labour,4,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,60000.0,35500.0,6000,132000.0,66000.0,101500.0
10,27,Married,Higher secondary,Self-employed – Agriculture,6,,Yes,No,BPL,Yes,22000.0,3700.0,6000,60000.0,32000.0,35700.0
10,27,Unmarried,Up To Primary,Non-agriculture labour,4,,No,No,No card,No,76000.0,40800.0,0,164000.0,88000.0,128800.0
10,35,Married,Post–graduate & Professional,Non-agriculture labour,4,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,84000.0,1000.0,4800,148000.0,59200.0,60200.0
10,34,Unmarried,Up To Primary,Agriculture labour,6,,Yes,No,BPL,Yes,71000.0,4700.0,0,130000.0,59000.0,63700.0
10,45,Married,Illiterate,Self-employed – Non-agriculture,6,,Yes,No,No card,No,163000.0,20000.0,0,274000.0,111000.0,131000.0
10,34,Unmarried,Up To Primary,Others,3,,No,No,BPL,Yes,142000.0,30000.0,0,224000.0,82000.0,112000.0
10,50,Married,Illiterate,Self-employed – Agriculture,2,,Yes,No,BPL,No,84000.0,0.0,0,208000.0,124000.0,124000.0
10,30,Unmarried,Matric,Regular salaried/wage employee,5,,No,,APL,No,156000.0,24000.0,0,252000.0,96000.0,120000.0
10,37,Married,Middle,Self-employed – Agriculture,1,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,84000.0,0.0,0,238000.0,154000.0,154000.0
10,36,Married,Matric,Regular salaried/wage employee,6,Smart phone (With data or phone that can do WhatsApp),Yes,Yes,No card,Yes,248000.0,200000.0,0,516000.0,268000.0,468000.0
10,40,Married,Up To Primary,Non-agriculture labour,9,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,52000.0,0.0,0,120000.0,68000.0,68000.0
10,45,Married,Graduate,Self-employed – Agriculture,10,Feature phone/Basic phone,Yes,No,BPL,Yes,210000.0,60000.0,6000,390000.0,174000.0,234000.0
10,68,Widowed,Up To Primary,Self-employed – Non-agriculture,3,,Yes,Yes,APL,No,215000.0,78000.0,7000,326000.0,104000.0,182000.0
10,35,Unmarried,Middle,Others,3,,Yes,No,BPL,Yes,80000.0,5000.0,0,214000.0,134000.0,139000.0
10,52,Married,Illiterate,Agriculture labour,9,,Yes,No,BPL,Yes,130000.0,0.0,2000,294000.0,162000.0,162000.0
10,20,Unmarried,Higher secondary,Self-employed – Agriculture,4,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,69000.0,2300.0,0,120000.0,51000.0,53300.0
10,30,Unmarried,Up To Primary,Self-employed – Agriculture,2,,No,No,BPL,No,91000.0,1500.0,0,120000.0,29000.0,30500.0
10,28,Unmarried,Up To Primary,Self-employed – Agriculture,5,,No,No,No card,No,83000.0,0.0,0,238000.0,155000.0,155000.0
10,26,Married,Post–graduate & Professional,Regular salaried/wage employee,4,Smart phone (With data or phone that can do WhatsApp),Yes,No,APL,Yes,135000.0,25000.0,1500,250000.0,113500.0,138500.0
10,32,Married,Middle,Self-employed – Agriculture,2,Feature phone/Basic phone,Yes,No,No card,No,171000.0,0.0,0,238000.0,67000.0,67000.0
10,28,Married,Up To Primary,Self-employed – Agriculture,4,Feature phone/Basic phone,Yes,No,No card,No,33000.0,4700.0,6000,80000.0,41000.0,45700.0
10,34,Unmarried,Middle,Self-employed – Agriculture,1,,Yes,No,BPL,Yes,17000.0,5000.0,6000,44000.0,21000.0,26000.0
10,62,Married,Middle,Self-employed – Agriculture,6,,Yes,No,BPL,Yes,36000.0,8000.0,0,90000.0,54000.0,62000.0
10,32,Unmarried,Up To Primary,Self-employed – Agriculture,3,,Yes,No,No card,No,134000.0,0.0,0,238000.0,104000.0,104000.0
10,32,Married,Illiterate,Self-employed – Agriculture,2,Feature phone/Basic phone,Yes,No,No card,No,109000.0,0.0,0,238000.0,129000.0,129000.0
10,30,Unmarried,Higher secondary,Self-employed – Agriculture,2,,No,No,No card,No,110000.0,0.0,0,238000.0,128000.0,128000.0
10,70,Married,Illiterate,Self-employed – Agriculture,6,,Yes,No,BPL,Yes,31000.0,11000.0,0,74000.0,43000.0,54000.0
10,26,Married,Middle,Self-employed – Agriculture,9,Feature phone/Basic phone,Yes,No,BPL,Yes,35000.0,7200.0,6000,80000.0,39000.0,46200.0
10,28,Married,Graduate,Self-employed – Agriculture,1,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,85000.0,0.0,0,214000.0,129000.0,129000.0
10,65,Married,Higher secondary,Self-employed – Agriculture,5,Smart phone (With data or phone that can do WhatsApp),Yes,No,No card,No,26000.0,5000.0,6000,60000.0,28000.0,33000.0
10,35,Married,Middle,Self-employed – Agriculture,4,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,27000.0,7500.0,6000,80000.0,47000.0,54500.0
10,53,Married,Illiterate,Self-employed – Agriculture,2,Feature phone/Basic phone,Yes,No,BPL,No,152000.0,0.0,0,208000.0,56000.0,56000.0
10,34,Unmarried,Middle,Self-employed – Non-agriculture,5,,Yes,No,BPL,Yes,151000.0,4000.0,0,238000.0,87000.0,91000.0
10,34,Unmarried,Illiterate,Self-employed – Agriculture,2,,Yes,No,BPL,No,89000.0,0.0,0,224000.0,135000.0,135000.0
10,37,Unmarried,Up To Primary,Self-employed – Agriculture,2,,Yes,No,BPL,No,112000.0,0.0,0,208000.0,96000.0,96000.0
10,40,Married,Up To Primary,Agriculture labour,9,,Yes,No,BPL,No,33000.0,0.0,4000,44000.0,7000.0,7000.0
10,28,Unmarried,Up To Primary,Self-employed – Agriculture,2,,No,No,BPL,No,204000.0,0.0,0,238000.0,34000.0,34000.0
10,18,Unmarried,Matric,Agriculture labour,4,,Yes,No,No card,No,55000.0,5500.0,6000,104000.0,43000.0,48500.0
10,25,Married,Up To Primary,Non-agriculture labour,3,Smart phone (With data or phone that can do WhatsApp),Yes,Yes,No card,No,31000.0,0.0,0,60000.0,29000.0,29000.0
10,24,Married,Higher secondary,Self-employed – Agriculture,6,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,46000.0,2500.0,6000,102000.0,50000.0,52500.0
10,26,Married,Up To Primary,Others,10,,Yes,No,BPL,Yes,29000.0,1000.0,3800,74000.0,41200.0,42200.0
10,30,Married,Up To Primary,Others,3,Feature phone/Basic phone,Yes,No,BPL,Yes,11000.0,1000.0,7000,30000.0,12000.0,13000.0
10,35,Married,Higher secondary,Others,6,Feature phone/Basic phone,Yes,No,BPL,Yes,25000.0,1000.0,7000,60000.0,28000.0,29000.0
10,27,Unmarried,Up To Primary,Non-agriculture labour,9,,No,No,BPL,No,129000.0,1200.0,10800,222000.0,82200.0,83400.0
10,60,Married,Illiterate,Non-agriculture labour,5,,Yes,No,BPL,No,166000.0,1000.0,0,268000.0,102000.0,103000.0
10,55,Married,Up To Primary,Self-employed – Agriculture,6,,Yes,,BPL,No,74000.0,1200.0,4800,196000.0,117200.0,118400.0
10,30,Married,Higher secondary,Non-agriculture labour,5,Feature phone/Basic phone,Yes,No,BPL,No,114000.0,1200.0,4800,208000.0,89200.0,90400.0
10,57,Unmarried,Matric,Others,12,,Yes,No,BPL,No,97000.0,1000.0,0,238000.0,141000.0,142000.0
10,55,Widowed,Illiterate,Others,4,Feature phone/Basic phone,Yes,No,BPL,No,52000.0,2000.0,0,124000.0,72000.0,74000.0
10,31,Unmarried,Up To Primary,Others,4,,No,No,BPL,No,20000.0,1000.0,400,44000.0,23600.0,24600.0
10,40,Married,Middle,Self-employed – Agriculture,2,Feature phone/Basic phone,Yes,Yes,APL,No,19000.0,62000.0,6000,62000.0,37000.0,99000.0
10,33,Married,Illiterate,Self-employed – Agriculture,4,Feature phone/Basic phone,Yes,No,BPL,No,22000.0,0.0,4800,74000.0,47200.0,47200.0
10,33,Married,Middle,Others,6,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,12000.0,1000.0,5000,30000.0,13000.0,14000.0
10,23,Married,Higher secondary,Self-employed – Agriculture,13,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,78000.0,0.0,0,180000.0,102000.0,102000.0
10,28,Married,Graduate,Non-agriculture labour,6,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,53000.0,0.0,0,120000.0,67000.0,67000.0
10,26,Unmarried,Up To Primary,Others,5,,Yes,No,BPL,No,79000.0,3000.0,0,166000.0,87000.0,90000.0
10,31,Unmarried,Up To Primary,Non-agriculture labour,3,,No,No,BPL,No,87000.0,0.0,0,178000.0,91000.0,91000.0
10,35,Married,Up To Primary,Self-employed – Non-agriculture,5,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,240000.0,6200.0,0,300000.0,60000.0,66200.0
10,50,Married,Illiterate,Others,5,,No,No,BPL,No,13000.0,1000.0,1400,30000.0,15600.0,16600.0
10,35,Unmarried,Middle,Agriculture labour,1,,No,No,BPL,No,27000.0,0.0,1200,48000.0,19800.0,19800.0
10,33,Unmarried,Up To Primary,Non-agriculture labour,4,,Yes,No,BPL,No,115000.0,6000.0,0,208000.0,93000.0,99000.0
10,38,Married,Matric,Non-agriculture labour,5,Feature phone/Basic phone,Yes,No,BPL,No,68000.0,40000.0,4800,104000.0,31200.0,71200.0
10,28,Unmarried,Higher secondary,Others,5,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,24000.0,1000.0,800,60000.0,35200.0,36200.0
10,27,Unmarried,Up To Primary,Others,5,,No,No,BPL,No,12000.0,1000.0,0,30000.0,18000.0,19000.0
10,29,Unmarried,Up To Primary,Non-agriculture labour,5,,No,No,BPL,No,125000.0,1200.0,0,270000.0,145000.0,146200.0
10,22,Married,Up To Primary,Self-employed – Non-agriculture,5,Feature phone/Basic phone,Yes,No,BPL,No,106000.0,12500.0,0,120000.0,14000.0,26500.0
10,34,Married,Illiterate,Non-agriculture labour,3,,No,No,BPL,No,78000.0,0.0,9600,118000.0,30400.0,30400.0
10,25,Married,Higher secondary,Others,4,Feature phone/Basic phone,Yes,No,BPL,No,56000.0,17000.0,9600,90000.0,24400.0,41400.0
10,27,Married,Up To Primary,Self-employed – Non-agriculture,4,,No,No,BPL,No,52000.0,1000.0,0,60000.0,8000.0,9000.0
10,36,Married,Middle,Others,12,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,30000.0,51000.0,3200,74000.0,40800.0,91800.0
10,24,Married,Higher secondary,Others,6,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,25000.0,1000.0,1700,60000.0,33300.0,34300.0
10,28,Married,Middle,Non-agriculture labour,4,Smart phone (With data or phone that can do WhatsApp),Yes,No,No card,No,55000.0,0.0,0,120000.0,65000.0,65000.0
10,27,Married,Higher secondary,Regular salaried/wage employee,6,,Yes,No,BPL,No,287000.0,61000.0,6800,728000.0,434200.0,495200.0
10,34,Unmarried,Middle,Others,9,,No,No,BPL,Yes,43000.0,1000.0,800,108000.0,64200.0,65200.0
10,28,Unmarried,Post–graduate & Professional,Others,2,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,63000.0,5000.0,0,142000.0,79000.0,84000.0
10,27,Married,Matric,Others,9,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,13000.0,11000.0,400,36000.0,22600.0,33600.0
10,56,Married,Matric,Regular salaried/wage employee,5,,Yes,No,No card,No,214000.0,84200.0,0,712000.0,498000.0,582200.0
10,45,Married,Up To Primary,Others,5,Feature phone/Basic phone,Yes,No,BPL,No,20000.0,1000.0,0,30000.0,10000.0,11000.0
10,22,Unmarried,Post–graduate & Professional,Self-employed – Agriculture,12,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,123000.0,1200.0,0,296000.0,173000.0,174200.0
10,45,Married,Illiterate,Non-agriculture labour,5,Feature phone/Basic phone,Yes,,BPL,No,53000.0,1200.0,3000,104000.0,48000.0,49200.0
10,22,Married,Illiterate,Others,4,,No,No,BPL,No,88000.0,4000.0,600,178000.0,89400.0,93400.0
10,40,Married,Illiterate,Non-agriculture labour,12,,Yes,Yes,BPL,No,103000.0,0.0,0,238000.0,135000.0,135000.0
10,30,Unmarried,Illiterate,Self-employed – Agriculture,10,Feature phone/Basic phone,Yes,No,BPL,No,21000.0,0.0,6000,60000.0,33000.0,33000.0
10,42,Married,Illiterate,Self-employed – Agriculture,5,,Yes,No,APL,No,41000.0,0.0,6000,60000.0,13000.0,13000.0
10,32,Married,Up To Primary,Others,6,,Yes,No,BPL,No,23000.0,1000.0,1700,60000.0,35300.0,36300.0
10,27,Unmarried,Up To Primary,Non-agriculture labour,5,,No,No,BPL,No,92000.0,0.0,0,142000.0,50000.0,50000.0
10,28,Unmarried,Up To Primary,Others,6,,Yes,No,BPL,No,101000.0,11800.0,0,208000.0,107000.0,118800.0
10,21,Unmarried,Illiterate,Self-employed – Agriculture,5,,No,No,BPL,No,32000.0,0.0,7400,60000.0,20600.0,20600.0
10,40,Married,Middle,Others,15,Feature phone/Basic phone,Yes,No,BPL,No,18000.0,1000.0,1500,44000.0,24500.0,25500.0
10,21,Married,Higher secondary,Regular salaried/wage employee,5,Smart phone (With data or phone that can do WhatsApp),No,No,No card,No,365000.0,32500.0,4800,282000.0,-87800.0,-55300.0
10,22,Married,Graduate,Self-employed – Agriculture,9,Smart phone (With data or phone that can do WhatsApp),Yes,No,APL,No,69000.0,8000.0,12000,228000.0,147000.0,155000.0
10,19,Unmarried,Graduate,Self-employed – Agriculture,9,Smart phone (With data or phone that can do WhatsApp),Yes,No,No card,Yes,72000.0,10000.0,0,208000.0,136000.0,146000.0
10,36,Married,Matric,Regular salaried/wage employee,4,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,26000.0,1000.0,6000,30000.0,-2000.0,-1000.0
10,31,Married,Higher secondary,Others,5,Feature phone/Basic phone,Yes,Yes,BPL,Yes,34000.0,1000.0,16600,88000.0,37400.0,38400.0
10,50,Married,Up To Primary,Self-employed – Non-agriculture,9,,No,No,No card,No,162000.0,1000.0,7000,180000.0,11000.0,12000.0
10,31,Unmarried,Up To Primary,Agriculture labour,12,Smart phone (With data or phone that can do WhatsApp),Yes,No,APL,Yes,209000.0,0.0,0,404000.0,195000.0,195000.0
10,26,Unmarried,Up To Primary,Self-employed – Agriculture,5,,No,Yes,BPL,No,123000.0,0.0,18600,296000.0,154400.0,154400.0
10,32,Unmarried,Up To Primary,Non-agriculture labour,5,,Yes,No,BPL,Yes,77000.0,0.0,12300,116000.0,26700.0,26700.0
10,35,Married,Higher secondary,Self-employed – Agriculture,5,Feature phone/Basic phone,Yes,No,BPL,No,218000.0,0.0,0,268000.0,50000.0,50000.0
10,70,Widowed,Middle,Self-employed – Agriculture,4,Feature phone/Basic phone,Yes,No,No card,No,221000.0,99000.0,7500,612000.0,383500.0,482500.0
10,24,Unmarried,Graduate,Self-employed – Agriculture,9,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,282000.0,75000.0,6000,446000.0,158000.0,233000.0
10,39,Widowed,Middle,Self-employed – Agriculture,4,Feature phone/Basic phone,Yes,No,No card,No,130000.0,0.0,0,320000.0,190000.0,190000.0
10,38,Married,Illiterate,Agriculture labour,4,,No,No,APL,Yes,199000.0,6000.0,8000,354000.0,147000.0,153000.0
10,62,Widowed,Higher secondary,Regular salaried/wage employee,3,Smart phone (With data or phone that can do WhatsApp),Yes,No,No card,Yes,220000.0,25000.0,0,308000.0,88000.0,113000.0
10,30,Married,Illiterate,Self-employed – Agriculture,4,Feature phone/Basic phone,Yes,No,BPL,No,148000.0,50000.0,6000,360000.0,206000.0,256000.0
10,20,Married,Matric,Self-employed – Agriculture,2,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,88000.0,30000.0,6000,274000.0,180000.0,210000.0
10,33,Married,Up To Primary,Self-employed – Non-agriculture,11,,Yes,No,BPL,No,374000.0,50000.0,6000,1028000.0,648000.0,698000.0
10,28,Married,Up To Primary,Non-agriculture labour,6,Smart phone (With data or phone that can do WhatsApp),No,No,BPL,Yes,170000.0,0.0,4800,306000.0,131200.0,131200.0
10,65,Married,Middle,Non-agriculture labour,2,,Yes,No,BPL,Yes,40000.0,35000.0,0,86000.0,46000.0,81000.0
10,32,Unmarried,Up To Primary,Self-employed – Agriculture,12,,No,No,BPL,Yes,108000.0,0.0,20600,268000.0,139400.0,139400.0
10,42,Married,Illiterate,Agriculture labour,5,,Yes,No,BPL,Yes,120000.0,0.0,4800,252000.0,127200.0,127200.0
10,25,Married,Illiterate,Regular salaried/wage employee,6,,Yes,No,BPL,No,175000.0,35000.0,0,392000.0,217000.0,252000.0
10,22,Unmarried,Up To Primary,Regular salaried/wage employee,3,,No,No,BPL,Yes,128000.0,18000.0,0,122000.0,-6000.0,12000.0
10,45,Married,Up To Primary,Self-employed – Agriculture,2,Feature phone/Basic phone,Yes,No,BPL,No,53000.0,45000.0,0,122000.0,69000.0,114000.0
10,22,Married,Illiterate,Regular salaried/wage employee,4,Feature phone/Basic phone,Yes,No,BPL,No,148000.0,66000.0,0,302000.0,154000.0,220000.0
10,70,Married,Illiterate,Non-agriculture labour,5,,Yes,No,No card,No,133000.0,0.0,1500,208000.0,73500.0,73500.0
10,40,Married,Middle,Non-agriculture labour,11,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,159000.0,0.0,6300,252000.0,86700.0,86700.0
10,27,Married,Higher secondary,Non-agriculture labour,5,Smart phone (With data or phone that can do WhatsApp),Yes,No,No card,No,110000.0,0.0,0,224000.0,114000.0,114000.0
10,32,Married,Middle,Non-agriculture labour,2,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,111000.0,7000.0,0,202000.0,91000.0,98000.0
10,20,Unmarried,Up To Primary,Regular salaried/wage employee,6,,No,No,BPL,Yes,136000.0,43000.0,4800,256000.0,115200.0,158200.0
10,32,Married,Higher secondary,Regular salaried/wage employee,6,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,162000.0,45000.0,1500,268000.0,104500.0,149500.0
10,48,Married,Illiterate,Self-employed – Agriculture,9,,Yes,No,BPL,No,140000.0,2000.0,6000,178000.0,32000.0,34000.0
10,40,Married,Graduate,Regular salaried/wage employee,9,,Yes,No,BPL,No,19000.0,3000.0,4800,42000.0,18200.0,21200.0
10,56,Married,Middle,Self-employed – Agriculture,3,,Yes,No,BPL,Yes,13000.0,7000.0,4000,42000.0,25000.0,32000.0
10,50,Married,Illiterate,Agriculture labour,9,,Yes,,No card,No,131000.0,0.0,0,296000.0,165000.0,165000.0
10,25,Unmarried,Up To Primary,Regular salaried/wage employee,4,,Yes,No,BPL,No,118000.0,24000.0,0,164000.0,46000.0,70000.0
10,45,Married,Illiterate,Agriculture labour,5,,Yes,No,BPL,Yes,87000.0,0.0,0,160000.0,73000.0,73000.0
10,57,Unmarried,Matric,Others,5,,Yes,No,BPL,Yes,245000.0,57000.0,1080,604000.0,357920.0,414920.0
10,35,Married,Higher secondary,Regular salaried/wage employee,9,,Yes,No,BPL,Yes,126000.0,21000.0,4800,220000.0,89200.0,110200.0
10,35,Unmarried,Up To Primary,Self-employed – Agriculture,3,,Yes,No,BPL,Yes,126000.0,20000.0,6000,268000.0,136000.0,156000.0
